ProbeSet,Gene Symbol,Chr,Mb
10338001,Affy_10338001,Un,1.0
10338002,Affy_10338002,Un,1.0
10338003,Affy_10338003,Un,1.0
10338004,Affy_10338004,Un,1.0
10338005,Affy_10338005,Un,1.0
10338006,Affy_10338006,Un,1.0
10338007,Affy_10338007,Un,1.0
10338008,Affy_10338008,Un,1.0
10338009,Affy_10338009,Un,1.0
10338010,Affy_10338010,Un,1.0
10338011,Affy_10338011,Un,1.0
10338012,Affy_10338012,Un,1.0
10338013,Affy_10338013,Un,1.0
10338014,Affy_10338014,Un,1.0
10338015,Affy_10338015,Un,1.0
10338016,Affy_10338016,Un,1.0
10338017,Affy_10338017,Un,1.0
10338018,Affy_10338018,Un,1.0
10338019,Affy_10338019,Un,1.0
10338020,Affy_10338020,Un,1.0
10338021,Affy_10338021,Un,1.0
10338022,Affy_10338022,Un,1.0
10338023,Affy_10338023,Un,1.0
10338024,Affy_10338024,Un,1.0
10338025,Affy_10338025,Un,1.0
10338026,Affy_10338026,Un,1.0
10338027,Affy_10338027,Un,1.0
10338028,Affy_10338028,Un,1.0
10338029,Affy_10338029,Un,1.0
10338030,Affy_10338030,Un,1.0
10338031,Affy_10338031,Un,1.0
10338032,Affy_10338032,Un,1.0
10338033,Affy_10338033,Un,1.0
10338034,Affy_10338034,Un,1.0
10338035,Affy_10338035,Un,1.0
10338036,Affy_10338036,Un,1.0
10338037,Affy_10338037,Un,1.0
10338038,Affy_10338038,Un,1.0
10338039,Affy_10338039,Un,1.0
10338040,Affy_10338040,Un,1.0
10338041,Affy_10338041,Un,1.0
10338042,Affy_10338042,Un,1.0
10338043,Affy_10338043,Un,1.0
10338044,Affy_10338044,Un,1.0
10338045,Affy_10338045,Un,1.0
10338046,Affy_10338046,Un,1.0
10338047,Affy_10338047,Un,1.0
10338048,Affy_10338048,Un,1.0
10338049,Affy_10338049,Un,1.0
10338050,Affy_10338050,Un,1.0
10338051,Affy_10338051,Un,1.0
10338052,Affy_10338052,Un,1.0
10338053,Affy_10338053,Un,1.0
10338054,Affy_10338054,Un,1.0
10338055,Affy_10338055,Un,1.0
10338056,Affy_10338056,Un,1.0
10338057,Affy_10338057,Un,1.0
10338058,Affy_10338058,Un,1.0
10338059,Affy_10338059,Un,1.0
10338060,Affy_10338060,Un,1.0
10338061,Affy_10338061,Un,1.0
10338062,Affy_10338062,Un,1.0
10338064,Affy_10338064,Un,1.0
10338065,Affy_10338065,Un,1.0
10338066,Affy_10338066,Un,1.0
10338067,Affy_10338067,Un,1.0
10338068,Affy_10338068,Un,1.0
10338069,Affy_10338069,Un,1.0
10338070,Affy_10338070,Un,1.0
10338071,Affy_10338071,Un,1.0
10338072,Affy_10338072,Un,1.0
10338073,Affy_10338073,Un,1.0
10338074,Affy_10338074,Un,1.0
10338075,Affy_10338075,Un,1.0
10338076,Affy_10338076,Un,1.0
10338077,Nmt1,11,102.913526
10338078,Affy_10338078,Un,1.0
10338079,Affy_10338079,Un,1.0
10338080,Affy_10338080,Un,1.0
10338081,Affy_10338081,Un,1.0
10338082,Affy_10338082,Un,1.0
10338083,Affy_10338083,Un,1.0
10338084,Affy_10338084,Un,1.0
10338085,Affy_10338085,Un,1.0
10338086,Affy_10338086,Un,1.0
10338087,Affy_10338087,Un,1.0
10338088,Affy_10338088,Un,1.0
10338089,Affy_10338089,Un,1.0
10338090,Affy_10338090,Un,1.0
10338091,Affy_10338091,Un,1.0
10338092,Affy_10338092,Un,1.0
10338093,Affy_10338093,Un,1.0
